categoria,titulo,subtitulo
"Pais","Candidato à federaçao PS quer estancar encerramento de serviços","O presidente da concelhia do PS de Vila Real, Francisco Rocha, anunciou hoje a sua candidatura à federaçao distrital nas eleições de setembro, colocando como prioridade vencer as legislativas para estancar o encerramento de serviços no distrito."
"mercados","Ligaçao ao GES empurra PT para novo minimo historico","Desde que foi noticiado o investimento da Portugal Telecom na Rioforte, as acções da operadora já cairam mais de 25% e estao esta terça-feira a negociar num novo minimo historico. "
"local","Tribunal Central Administrativo do Norte anula decisao de perda de mandato a autarca do Porto","A perda do mandato tinha sido decretada depois de Antonio Fonseca ter sido candidato eleitoral apos ser declarado insolvente."
"local","Quercus liberta 4000 mexilhões no rio Paiva em Castro Daire","A reproduçao do mexilhao-de-rio em cativeiro ocorreu pela primeira vez com sucesso no ano passado."
"Economia","Gurria manifesta preocupaçao com divida privada portuguesa","O secretário-geral da Organizaçao para a Cooperaçao e Desenvolvimento Economico (OCDE), Angel Gurria, expressou hoje a preocupaçao daquela instituiçao com a divida privada portuguesa, mais do que com a divida publica."
"Mundo","Fita-adesiva, a rainha do improviso","O ser humano é conhecido pela sua capacidade de improviso, ou de ‘desenrascanço’, como atesta esta galeria que nos chega via Memolition."
"Pais","Investigadores recomendam saladas bebé para prevenir doenças","Investigadores da Universidade de Vila Real defenderam hoje o consumo de folhas bebé de alface, agriao, rucula e acelga em saladas e sumos para prevenir o aparecimento de doenças como a obesidade, a hipertensao, diabetes ou processos cancerigenos."
"Pais","Adesao à greve seguramente acima dos 50%","Mais de metade dos médicos terá aderido hoje ao primeiro de dois dias de greve, de acordo com uma primeira estimativa preliminar da Federaçao Nacional dos Médicos (FNAM)."
"Desporto","Nike nao vai renovar com o Manchester United","Contrato dura até 2015. Clube pede mais de 75 milhões de euros por ano."
"economia","OCDE recomenda descida do IRS e da TSU","A Organizaçao para a Cooperaçao e Desenvolvimento Economico sugere ao Governo que repondere a descida da TSU a cargo do empregador, sobretudo nos salários mais baixos."
"local","Saida de pároco de Canelas (Gaia) motiva vigilia com cerca de três mil pessoas",?
"Politica","Seguro e Costa têm consenso sobre nomes da comissao eleitoral","As candidaturas de Antonio José Seguro e de Antonio Costa já têm um entendimento sobre os três nomes com direito a voto que integrarao a comissao eleitoral das primárias para a escolha do candidato socialista a primeiro-ministro."
"Economia","Exposiçao dos bancos portugueses ao BCE em minimos","Os bancos portugueses reduziram a exposiçao ao financiamento do Banco Central Europeu (BCE) em junho, pelo nono mês consecutivo, para 38.421 milhões de euros, o valor mais baixo desde novembro de 2010."
"Economia","Volume de negocios na industria intensifca queda homologa em maio","O indice de volume de negocios na industria intensificou em maio a diminuiçao homologa, ao recuar 5,5%, enquanto os indices de emprego e de remunerações registaram aumentos de 0,3% e de 1,3% em maio, respetivamente, divulgou hoje o INE."
"Mundo","PSD critica aproveitamento politico dos acidentes nas levadas","O grupo parlamentar do PSD/Madeira criticou hoje o que classificou como um aproveitamento politico dos mais recentes acidentes ocorridos com turistas nas levadas da regiao."
"Economia/Politica","Critérios de aproximaçao do Estado ao sector privado sao importantes","O secretário de Estado da Administraçao Publica frisou hoje a importância de reter os quadros qualificados no Estado e sublinhou que os critérios de aproximaçao ao sector privado sao importantes."
"Seguranca","Tribunal decide manter Manuel Godinho em liberdade","O Tribunal de Ovar decidiu manter em liberdade o sucateiro Manuel Godinho, principal arguido no processo Face Oculta, rejeitando o pedido do Minist�rio P�blico para que fossem agravadas as medidas de coa��o do sucateiro, informou fonte judicial."
"Pais","Advogado de Gonçalo Amaral diz que há perseguiçao a ex-inspetor da PJ","No contra-interrogatorio ao casal McCann, o advogado de Gonçalo Amaral salientou que nao houve qualquer destruiçao social, como alega o casal. A defesa diz também que há uma cerdadeira perseguiçao ao ex-inspetor da Judiciária."
"Pais","Pedida condenaçao a médica e operadores do INEM pela morte de maestro","O Ministério Publico pediu hoje a condenaçao de uma médica e de dois operadores do INEM por homicidio negligente do maestro Fernando Correia Martins, mas sem quantificar a pena de prisao que pode ir até três anos."
"Mundo","Detençao de porta-voz da Renamo peca por tardia","A Frelimo, no poder em Moçambique, congratulou-se hoje com a sábia, pertinente e oportuna decisao de levantamento de imunidade do porta-voz da Renamo, principal partido de oposiçao, e considerou que a sua detençao apenas peca por tardia."
"politica","Joao Cordeiro constituido arguido por alegadas calunias contra Câmara de Cascais","Em causa está um comunicado do candidato do PS às autárquicas de 2013, publicado sob a forma de publicidade paga nos jornais."
"Pais","Hospital e centro de saude a meio gás na Guarda","Hospital e centro de saude funcionaram a meio gás esta manha, na Guarda. Mas na unidade de saude familiar a paralisaçao foi total."
"Economia","Ricardo Salgado vai receber reforma de 900 mil euros por ano","Ricardo Salgado vai receber uma reforma de 900 mil euros por ano depois de sair da liderança do BES. O valor é definido e pago pelo proprio Banco Espirito Santo."
"Economia","OCDE elogia reformas reformas feitas nos ultimos anos em Portugal","A OCDE acaba de publicar um novo relatorio sobre Portugal onde elogia as reformas feitas nos ultimos anos. Mas a organizaçao que junta 34 paises avisa que ainda há trabalho a fazer. Defende um alivio da carga fiscal mas também quer que o salário minimo nacional continue congelado."
"economia","OCDE diz que reformas realizadas vao aumentar o PIB em 3,5% até 2020","Organizaçao sediada em Paris diz que Portugal tem sido “lider reformador”, mas sugere ainda mais mudanças nos mercados de produtos e de trabalho nos proximos anos."
"Pais","Médicos em greve contra destruiçao do Serviço Nacional de Saude ","Os médicos estao esta terça-feira em greve. Protestam contra o que dizem ser a destruiçao do Serviço Nacional de Saude e a perda de regalias. A paralisaçao está a afectar mais as cirurgias e menos consultas externas."
"Pais","McCann têm esperanças na investigaçao da policia inglesa","O pai de Madeleine McCann, Gerry Mccann, diz que deposita esperanças na investigaçao da Metropolitan Police."
"Desporto","F.C. Porto tem de voltar a vencer, diz Evandro","O futebolista Evandro, m�dio que esta �poca chegou para refor�ar o F.C. Porto, garantiu que a equipa tem de voltar a vencer e salientou que quem estiver mais concentrado ser� campe�o nacional."
"Pais","Greve dos médicos afeta cirurgias em Coimbra","Em Coimbra, a greve dos médicos está a ter impacto sobretudo nas cirurgias. Ainda assim, nos hospitais da cidade também há serviços que nao estao a ser afetados pela paralisaçao."
"Pais","Populaçao de Faro solidária com os médicos","O distrito de Faro é dos mais afectado pela falta de médicos e há mesmo serviços e hospitais em risco de fechar. Por isso, parte da populaçao algarvia compreende a greve e muitos estao solidários."
"Portugal","Seguro e Costa têm consenso sobre nomes da comissao eleitoral","Jorge Coelho vai liderar o orgao que vai tutelar o processo de eleições primárias"
"Dinheiro","Volume de negocios na industria intensifca queda homologa em Maio","Em maio, o indice relativo ao mercado nacional diminuiu 4,3%, apos uma variaçao de -0,9% em abril, enquanto o indice relativo ao mercado externo apresentou uma diminuiçao de 7,0% "
"opiniao","Cartas à Directora",?
"Pais","Jovem de 26 anos morre em acidente de trator","Um jovem de 26 anos morreu, esta segunda-feira, em Touvedo, Ponte da Barca, no seguimento de um acidente de trator. Segundo o Jornal de Noticias, mais duas pessoas ficaram feridas."
"Desporto","Funeral de Di Stéfano realiza-se amanha somente para a familia","O antigo futebolista Alfredo di Stéfano, presidente honorário do Real Madrid que morreu na segunda-feira, vai ser enterrado na quarta-feira, na mais estrita intimidade, no cemitério de La Almudena, informou hoje o clube espanhol."
"Economia","Perspetivas para Portugal sofrem ligeiro recuo mas continuam positivas","As perspetivas de recuperaçao economica para Portugal mantêm-se positivas, mas sofreram um ligeiro recuo em maio, segundo os indicadores compositos avançados da Organizaçao para a Cooperaçao e Desenvolvimento Economico (OCDE)."
"Pais","Governo e municipios chegam a acordo sobre Fundo de Apoio","O Governo anunciou hoje ter alcançado com os municipios um acordo sobre um conjunto de matérias, nomeadamente acerca do Fundo de Apoio Municipal (FAM), para ajudar financeiramente câmaras em dificuldades financeiras."
"Economia/Politica","Governo e câmaras chegam a acordo","O Governo e a Associaçao Nacional de Municipios Portugueses alcançaram hoje um acordo politico alargado em matérias como o Fundo de Apoio Municipal e o regime de recuperaçao financeira municipal, a Lei dos Compromissos e dos Pagamentos em Atraso."
"Economia/Politica","Lucros do Banco do Vaticano cairam 96% num ano","Milhares de contas fechadas ou bloqueadas levaram lucros do banco catolico para 2,9 milhões de euros no ano passado. Primeiro semestre de 2014 já será de recuperaçao."
"Economia","OCDE elogia reformas reformas feitas em Portugal","A OCDE acaba de publicar um novo relatorio sobre Portugal onde elogia as reformas feitas nos ultimos anos. Mas a organizaçao que junta 34 paises avisa que ainda há trabalho a fazer. Defende um alivio da carga fiscal mas também quer que o salário minimo nacional continue congelado."
"Economia","Perspetivas de recuperaçao para Portugal sofrem ligeiro recuo","As perspetivas de recuperaçao economica para Portugal mantêm-se positivas, mas sofreram um ligeiro recuo em maio, segundo os indicadores compositos avançados da Organizaçao para a Cooperaçao e Desenvolvimento Economico (OCDE)."
"economia","OCDE quer despedimentos mais fáceis e salário minimo congelado","A OCDE elogia os progressos no mercado de trabalho, mas diz que ainda há reformas por fazer. Defende que a protecçao laboral em Portugal é excessiva e recomenda que o salário minimo nao seja aumentado."
"economia","Brigas Afonso é o homem certo para o Fisco?","Antonio Brigas Afonso é o nome escolhido pelo Governo para liderar a Autoridade Tributária e Aduaneira. Será Brigas Afonso o homem certo? Para trás ficaram dois concorrência fortes."
"Economia","Crédito malparado das familias atinge valor mais elevado de sempre","O crédito malparado das familias portuguesas atingiu em maio deste ano o valor mais elevado desde o inicio de 1998, o inicio da série, segundo dados hoje publicados pelo Banco de Portugal."
"Pais","Bloco questiona falta de médicos em Miranda do Corvo","O Bloco de Esquerda (BE) questionou hoje o Governo sobre a falta de médicos no centro de saude de Miranda do Corvo e alega que a unidade se encontra em risco de reduzir o horário de atendimento."
"Pais","Incêndio destroi por completo casa no concelho de Abrantes","Um incêndio destruiu hoje por completo uma habitaçao na freguesia do Pego, em Abrantes, nao havendo feridos a registar, disse à agência Lusa fonte do Centro Distrital de Operações de Socorro (CDOS) de Santarém."
"Sociedade","Maus tratos e abandono de animais vai ser penalizado com multas ou pris�o","O parlamento aprova dia 10, em vota��o final global, um projeto do PS e do PSD para criminalizar os maus tratos e o abandono de animais de companhia, prevendo penas de multa ou pris�o."
"Pais","Acordo para criminalizar maus tratos e abandono de animais","O parlamento aprova dia 10, em votaçao final global, um projeto do PS e do PSD para criminalizar os maus tratos e o abandono de animais de companhia, prevendo penas de multa ou prisao."
"Mundo"," Dois aviões quase embateram em plena pista em Barcelona. Veja o video","Um Boeing 767 e um Airbus A340 quase colidiram quando um aviao da companhia aérea russa Utair se aproximou da pista de aterragem"
"economia","Cortes efectuados no rendimento minimo devem ser repostos, diz a OCDE","Aumento da abrangência do subsidio de desemprego também é defendida em relatorio sobre Portugal."
"economia","Exposiçao dos bancos portugueses ao BCE em minimos de quase quatro anos","Dados do Banco de Portugal mostram que valor dos empréstimos caiu para 38 mil milhões de euros."
"sociedade","PS diz que Governo tem feito greve na saude, PSD fala em protesto “politizado”","Socialistas falam num atraso civilizacional no SNS, sociais-democratas acusam Federaçao Nacional dos Médicos e Ordem dos Médicos de prosseguirem agendas politicas alheias aos interesses dos doentes."
"Economia","Crédito malparado das familias atinge maior valor de sempre","O crédito malparado das familias portuguesas atingiu em maio deste ano o valor mais elevado desde o inicio de 1998, o inicio da série, segundo dados hoje publicados pelo Banco de Portugal."
"Pais","Problemas no S. Joao estao a ser resolvidos","Menos de um mês depois de 58 diretores de serviço e departamento do Hospital de S. Joao terem apresentado a demissao, em protesto contra a falta de condições naquela unidade médica, o presidente do S. Joao assegura à Rádio Renascença que “grande parte” dos problemas estao resolvidos."
"Mundo","Seria absurdo ter menos comissárias que Barroso","O candidato designado à presidência da Comissao Europeia, Jean-Claude Juncker, afirmou hoje que seria absurdo o futuro executivo comunitário ter menos mulheres que a atual Comissao Barroso."
"Economia/Politica","OCDE defende que flexibilidade no mercado de trabalho já ajuda a criar emprego","Angel Gurria, secretário-geral da OCDE, apresentou hoje ao Governo um estudo sobre as reformas estruturais portuguesas."
"Economia/Politica","Novos cortes salariais abrangem metade dos funcionários publicos","O secretário de Estado da Administraçao Publica afirmou hoje que cerca de metade dos funcionários publicos serao afectados pelos novos cortes salariais."
"Dinheiro","Crédito malparado das familias atinge valor mais elevado de sempre ","O crédito à habitaçao foi o que mais pesou neste desempenho: em maio, o crédito malparado nesta categoria subiu para os 2.455 milhões de euros"
"Dinheiro","OCDE: Secretário-geral diz que depois do “sucesso” do programa há que “manter o rumo”","Angel Gurria sublinhou que Portugal concluiu o periodo de ajustamento com sucesso, mas sublinhou a necessidade de manter o rumo"
"Politica","Aprovados votos de pesar por Cândido Moreira e Luis Fontoura","O parlamento aprovou hoje por unanimidade das bancadas dois votos de pesar pelas mortes do presidente da Associaçao Nacional de Freguesias (ANAFRE), Cândido Moreira, e do ex-vice-presidente do PSD, Luis Fontoura."
"Mundial 2014","Vitoria alema no Mundial vale viagem ao espaço","À medalha de ouro, os jogadores alemaes podem juntar uma vista privilegiada às estrelas. A XCOR, uma empresa sedeada na Alemanha, oferece uma viagem ao espaço se a equipa germânica vencer o Mundial."
"Economia","Restrições remuneratorias para cargos de topo de bancos","O Governo impôs restrições de remuneraçao aos titulares de cargos de direçao de topo dos bancos que recebam ajudas estatais, mas deixou de fora as instituições com operações de recapitalizaçao em curso, como BCP, BPI e Banif."
"Portugal","Greve dos médicos. PSD afirma que protesto está fortemente politizado","Ao contrário da greve de 2012, esta nao terá a participaçao do Sindicato Independente dos Médicos"
"Pais","Chefe de Estado-Maior da Armada quer reforçar cooperaçao em Angola","O Chefe de Estado-Maior da Armada (CEMA) de Portugal transmitiu hoje em Luanda a total disponibilidade daquele ramo das Forças Armadas portuguesas para cooperar com a Marinha de Angola, no desenvolvimento das suas capacidades."
"Economia","Cortes salariais atingem apenas metade dos funcionários publicos","O secretário de Estado da Administraçao Publica, José Maria Leite Martins, garantiu hoje que as reduções que o Governo pretende reintroduzir nos salários atingirao apenas metade do total dos funcionários publicos."
"empresas","Ex-secretário de Estado de Cavaco Silva é o novo presidente da INCM","A Imprensa Nacional Casa da Moeda (INCM), empresa publica sob tutela das Finanças, tem novo presidente. Rui Carp foi o homem escolhido."
"Tech","Jovens japoneses proibidos de usar telemovel à noite","A dependência dos jovens em relaçao aos smartphones e à internet levou o conselho de educaçao da cidade de Kasuga, no Japao, a desaconselhar o uso daqueles dispositivos entre as 22h00 e as 6h00 do dia seguinte, noticia a Time."
"Economia","Aprovado diploma do PSD/CDS-PP para fixar que cortes nas subvenções","O parlamento aprovou hoje um diploma do PSD/CDS-PP que visa fixar que os cortes nas subvenções e nos limites de despesas das campanhas eleitorais sao cumulativos, com a abstençao do PCP e BE e o voto contra do PS."
"economia","Câmaras vao financiar 325 milhões de euros no Fundo de Apoio Municipal","O Governo e a Associaçao Nacional de Municipios formalizaram, finalmente, um acordo no Fundo de Apoio Municipal. O financiamento será de 50% de cada uma das partes e as câmaras terao sete anos para colocar dinheiro no fundo – algo que já tinha sido acertado a 17 de Junho."
"Mundial 2014","Atriz porno volta ao ataque","A atriz Marlen Doll promete seis horas seguidas de sexo, caso o Brasil conquiste o Mundial no proximo domingo."
"Politica","É absurdo reclamar a restruturaçao da divida","O antigo ministro das Finanças Luis Campos e Cunha considerou hoje absurdo uma eventual reestruturaçao da divida, explicando que isso provocaria a queda do valor atual da divida, implicando logo depois a ajuda estatal ao setor financeiro português."
"Pais","Centenas de cirurgias adiadas no Porto","Nos principais hospitais do grande Porto, centenas de cirurgias foram adiadas e milhares de consultas canceladas. Vários centros de saude abriram as portas, mas nao apareceu nenhum médico para trabalhar."
"Pais","Greve dos médicos adia cirurgias e cancela consultas","Os médicos estao em greve por 48 horas, em protesto contra o que dizem ser a degradaçao do Serviço Nacional de Saude e as politicas do Governo. Os sindicatos aconselham os utentes a confirmarem as consultas antes de se deslocarem aos hospitais e centros de saude. Para esta tarde está marcada uma concentraçao em frente ao ministério. De acordo com uma primeira estimativa preliminar da Federaçao Nacional dos Médicos, mais de metade dos médicos terá aderido hoje ao primeiro de dois dias da greve, que termina amanha à meia-noite."
"Economia/Politica","Nao temos margem orçamental para baixar a TSU","O primeiro-ministro disse hoje que para baixar a Taxa Social unica (TSU) teria de aumentar de forma significativa outros impostos."
"sociedade","Tribunal nega pedido de prisao preventiva para Manuel Godinho","Principal arguido do processo Face Oculta mantém-se com termo de identidade e residência."
"empresas","Zuckerberg quer acesso mais fácil à Internet","Bloomberg dá conta que o CEO do Facebook, Mark Zuckerberg, apelou a que seja facilitado o acesso à Internet a nivel global."
"Pais","Homem detido por roubos no Metro","A PSP deteve, na segunda-feira à tarde na rua Herois de Chaimite, em Odivelas, um homem de 33 anos suspeito de ser o autor de cinco roubos e dois furtos qualificados na zona do Campo Grande, em Lisboa, e, inclusivamente, em várias estações do Metro."
"Pais","Sintra renova apoio financeiro para prevençao de incêndios","A Câmara de Sintra renovou hoje os protocolos com quatro corporações de bombeiros do concelho para o funcionamento de grupos especiais de prevençao e socorro, destinados a ações de vigilância na serra e no litoral."
"Politica","Regime de comparticipaçao de medicamentos num unico diploma","PSD, PS e CDS aprovaram hoje, em votaçao final global, no parlamento, uma proposta que partiu do Governo para concentrar num unico diploma o regime geral das comparticipações do Estado no preço dos medicamentos."
"Politica","Governo garante que cortes salariais atingem apenas metade dos funcion�rios p�blicos","O secret�rio de Estado da Administra��o P�blica, Jos� Maria Leite Martins, garantiu hoje que as redu��es que o Governo pretende reintroduzir nos sal�rios atingir�o apenas metade do total dos funcion�rios p�blicos."
"Tecnologia","Colunas Dancing Water da Conceptronic combinam áudio com entretenimento",?
"Tecnologia","LinkedCare abre 24 vagas de emprego",?
"Mundial 2014","Inglês preso por venda de ilegal de bilhetes foi solto","O britânico envolvido na máfia de venda ilegal de ingressos para o Mundial, preso na tarde desta segunda-feira no Rio de Janeiro, foi solto esta madrugada, apos a justiça acatar o pedido de habeas corpus feito pelos seus advogados."
"economia","Gurria: “So é possivel aumentar salários se houver aumento de produtividade”","No final do encontro com o primeiro-ministro português, o secretário-geral da OCDE defendeu que a actualizaçao do salário minimo deve estar condicionada à evoluçao da produtividade do Pais."
"sociedade","Pais de Madeleine McCann dizem que livro de Gonçalo Amaral é chocante","Casal McCann prestou declarações durante o julgamento que decorreu no Palácio da Justiça, em Lisboa"
"sociedade","Pedida condenaçao de médica e operadores INEM pela morte do maestro Correia Martins","O Ministério Publico pediu esta terça-feira a condenaçao de uma médica e de dois operadores do INEM por homicidio negligente do maestro Fernando Correia Martins, mas sem quantificar a pena de prisao que pode ir até três anos."
"politica","PSD/CDS disponiveis para discutir soluçao sobre despesas de campanhas eleitorais","PS votou contra projecto que impede partido de receber 3,6 milhões de euros."
"economia","É absurdo reclamar a reestruturaçao da divida, diz Campos e Cunha","Ex-ministro das Finanças considera que medida obrigaria Estado a intervencionar sector financeiro."
"Desporto","O FC Porto tem de voltar a vencer","O futebolista Evandro, médio que esta época chegou para reforçar o FC Porto, garantiu hoje que a equipa tem de voltar a vencer e salientou que quem estiver mais concentrado será campeao nacional."
"Economia","Cortes salariais atingem apenas metade dos funcionários","O secretário de Estado da Administraçao Publica, José Maria Leite Martins, garantiu hoje que as reduções que o Governo pretende reintroduzir nos salários atingirao apenas metade do total dos funcionários publicos."
"Pais","Presidente da Republica ofereceu almoço a eurodeputados cessantes","O Presidente da Republica, Cavaco Silva, ofereceu hoje um almoço no Palácio de Belém aos eurodeputados que terminaram o seu mandato com as ultimas eleições europeias de 25 de maio."
"empresas","Os maiores vencedores do Mundial de Futebol sao ... os exportadores chineses","Bloomberg mostra como o Mundial de Futebol no Brasil está a impulsionar as exportações na china"
"mercados","Bolsas norte-americanas abrem no vermelho com investidores à espera da abertura da época de resultados","Wall Street abriu em queda com os investidores na expectativa pela divulgaçao das minutas da Fed, relativas a Junho, que serao conhecidas esta quarta-feira. Os investidores aguardam também pela abertura da época de resultados."
"Politica","PSD e CDS aprovam reintroduçao de cortes salariais","A maioria PSD/CDS-PP aprovou hoje no parlamento, em votaçao na generalidade, a reintroduçao de cortes salariais que, de acordo com o Governo, atingirao apenas metade do total dos funcionários publicos."
"Pais","PJ deteve suspeito de crime de abuso sexual a criança","A Policia Judiciária (PJ) anunciou hoje a detençao, em Vila Nova de Foz Côa, de um homem de 23 anos, pela alegada prática de crime de abuso sexual a uma criança de 12 anos."
"Mundo","Cerca de 100 mortos em confrontos desde sábado","Pelo menos 96 pessoas morreram em confrontos que começaram no fim de semana entre tropas ugandesas e homens armados no oeste do Uganda, perto da fronteira com a Republica Democrática do Congo (RDC), anunciou hoje o exército ugandês."
"Mercados","Mercados em Zoom: PSI 20 anula ganhos de 2014","Fortes quedas da banca e da Portugal Telecom empurram Lisboa para niveis do inicio do ano. No resto da Europa e nos EUA, com a proximidade da época de apresentaçao de resultados, cautela é a palavra de ordem."
"Portugal","PSD e CDS aprovam na generalidade reintroduçao de cortes salariais ","A proposta de lei teve os votos favoráveis de PSD e CDS-PP e os votos contra de toda a oposiçao, seguindo agora para sede de comissao"
"Mais","Mário Vargas Llosa recebe doutoramento Honoris Causa pela Universidade Nova ","A proposta de doutoramento “Honoris Causa” foi apresentada pelo escritor Nuno Judice, docente do Departamento de Linguas, Culturas e Literaturas da Faculdade de Ciências Sociais e Humanas daquela universidade"
"economia","Quatro dos brinquedos mais caros para os bilionários","Num mundo cada vez mais desigual, os mais ricos entre os ricos querem comprar os brinquedos mais caros que encontram. A Bloomberg mostra-lhe alguns."
"Fama","Sempre disse que nao iria casar","Em entrevista à revista W, a atriz Mila Kunis afirma que nunca achou que se fosse casar."
"mercados","Michael O’Sullivan: Recuperaçao da economia norte-americana está a ganhar ritmo","Michael O’Sullivan, CIO do Credit Suisse Private Banking na Europa, analisa na Bloomberg as suas perspectivas para os mercados financeiros até ao final do ano e onde está a aplicar os investimentos."
"Pais","Pai e filho detidos por posse ilegal de armas","Dois homens, pai e filho, foram detidos esta terça-feira de manha em S. Domingos de Rana, no concelho de Cascais, por posse ilegal de armas."
"Economia","Lista de devedores aumentou 80% este ano","A Lista Publica de Execuções, que foi criada em 2009 pelo Ministério da Justiça, ultrapassou no passado mês de junho os 100 mil inscritos. Este numero, refere o jornal Publico, representa uma subida de quase 80% quando comparado com o mesmo periodo do ano passado."
"Cultura","Mário Vargas Llosa recebe doutoramento Honoris Causa","O escritor peruano Mário Vargas Llosa, de 78 anos, autor do romance Conversa nA Catedral, vai receber o grau de doutor Honoris Causa, pela Universidade Nova de Lisboa, no proximo dia 22, foi hoje divulgado."
"Pais","Aprovada cooperaçao com Turquia sobre industrias de Defesa","O parlamento aprovou hoje, com os votos favoráveis de PSD, CDS-PP e PS, o acordo entre Portugal e a Turquia sobre a cooperaçao no dominio da industria da defesa, documento firmado inicialmente em novembro de 2013."
"Pais","Adesao de 43 médicos à greve na Madeira","O diretor clinico do Hospital Dr.Nélio Mendonça, no Funchal, informou hoje que 43 médicos aderiram ao protesto convocado pela Federaçao Nacional dos Médicos (FNAM), nao colocando em causa, no entanto, o normal funcionamento da estrutura."
"Economia","Estudo da OCDE revela que as reformas estruturais valeram a pena, diz Passos","O primeiro-ministro garante que Portugal está no bom caminho para atenuar as desigualdades sociais. Na apresentaçao do relatorio da OCDE sobre as reformas estruturais, Pedro Passos Coelho sublinha que os esforços valeram a pena."
"Economia","Passos garante que nao tem margem orçamental para baixar TSU","Uma das recomendações da OCDE é a descida da TSU, compensada com o aumento do IMI ou dos impostos ambientais. O primeiro-ministro reconhece que é necessário baixar os custos com o trabalho mas Passos Coelho garante também que neste momento Portugal nao tem condições para poder compensar uma descida da TSU."
"Economia","Secretário de Estado reafirma intençao de devolver cortes progressivamente até 2019","O Governo garante que nao está a preparar qualquer reduçao salarial permanente. Em resposta às acusacões da oposiçao, o secretário de Estado da Administraçao Publica, José Leite Martins, subinha que os cortes salariais aprovados pelo executivo sao para devolver progressivamente até 2019."
"Mundo","Israel intensifica raides aéreos em Gaza e mobiliza 40 mil reservistas","Algumas horas antes, na cidade de Gaza, quatro pessoas “foram mortas num ‘raide’ aéreo sionista que atingiu uma viatura civil num bairro do centro”, ainda segundo Al-Qodra"
"Dinheiro","Campos e Cunha. É absurdo reclamar a restruturaçao da divida”","Campos e Cunha detalhou ainda que uma boa parte da divida, na ordem dos 40%, está em instituições europeias, para as quais nao há possibilidade de haver restruturaçao da divida"
"Portugal","Pais e autarcas de Gonça, Guimaraes, manifestam-se contra fecho de escola","“A nossa unica esperança, agora, é a providência cautelar que a Câmara vai interpor”, disse à Lusa Francisco Costa e Silva, presidente da Junta de Freguesia de Gonça"
"Portugal","Passos defende que nao há margem orçamental para baixar TSU às empresas ","Pedro Passos Coelho escusou-se a comentar as outras questões de natureza fiscal abordadas no relatorio da OCDE"
"politica","Governo garante devoluçao dos cortes aos funcionários publicos, oposiçao duvida","Proposta de lei deve ser aprovada em votaçao final no fim do mês"
"economia","Israel intensifica raides aéreos em Gaza e mobiliza 40 mil reservistas","Pelo menos 12 palestinianos foram hoje mortos e mais de 70 feridos em raides israelitas na Faixa de Gaza, enquanto o governo judaico decidiu convocar 40.000 reservistas na perspectiva de uma possivel ofensiva terrestre contra o enclave."
"Economia","Passos defende que nao há margem orçamental para baixar TSU","O primeiro-ministro defendeu hoje que nao há margem orçamental para baixar a Taxa Social unica (TSU) paga pelas empresas, como recomenda a OCDE, e remeteu a discussao da politica fiscal para o Orçamento do Estado para 2015."
"mercados","Macdonald: Nao esperem quantitative easing do BCE em breve","Lucy Macdonald, CIO da Allianz Global Investors Europe, analisa na Bloomberg qual o impacto nos mercados das medidas de politica monetária dos bancos centrais. "
"Tech","Universidade de Aveiro lança plataforma tecnologica da bicicleta","A Universidade de Aveiro (UA) apresentou na Murtosa a Plataforma Tecnologica da Bicicleta e Mobilidade Suave, que reune de forma transversal mais de 30 investigadores de diferentes áreas, para dinamizar a bicicleta e a mobilidade sustentável."
"Economia/Politica","Governo e ANMP oficializam acordo sobre Fundo de Apoio","Autarquias financiam apenas metade do fundo e ganham dois anos para o financiar. Poiares Maduro anuncia acordo às 16 horas."
"Empresas/Finanças","Mota-Engil África é um bom investimento a longo prazo","Gestora de activos Stanlib assume que vai participar no IPO da subsidiária africana da Mota-Engil por se tratar de um bom investimento a longo-prazo."
"mercados","As 10 acções em destaque na sessao de 8 de Julho","Saiba quais as 10  acções que a Bloomberg destaca na sessao de hoje em Wall Street."
"empresas","É viciado em séries e filmes? A Netflix tem o emprego ideal para si.","É considerado um emprego de sonho para muitos amantes de séries e filmes. A vaga em questao consiste em assistir a conteudos e depois catalogá-los de acordo com as suas caracteristicas. So há uma vaga, de momento."
"mercados","Há uma empresa que lhe diz quem sao os melhores accionistas a recomendar acções","Uma empresa israelita desenvolveu um método pouco habitual para descobrir quem sao os melhores analistas a recomendar acções. A Bloomberg mostra-lhe como é."
"mercados","Banca e PT arrastam PSI-20 para queda superior a 2%","O PSI-20 está a acentuar as perdas, pressionado pelas fortes quedas da banca e da Portugal Telecom. No sector financeiro, destaca-se o BES, que cai quase 8% e o ESFG que tomba 10%. "
"Economia","OCDE defende alivio da carga fiscal e congelamento do salário minimo","A OCDE acaba de publicar um novo relatorio sobre Portugal onde elogia as reformas feitas nos ultimos anos. Mas a organizaçao que junta 34 paises avisa que ainda há trabalho a fazer. Defende um alivio da carga fiscal mas também quer que o salário minimo nacional continue congelado."
"Desporto","Mourinho. Mitos como Di Stéfano nunca morrem","Di Stéfano estava internado desde sábado no hospital Gregorio Marañon, de Madrid, onde deu entrada na sequência de uma paragem cardiaca, depois de já ter sofrido um enfarte em 2013"
